id,name,status,address,city,state,postal_code,latitude,longitude,phone,GEOID,matched_place,total_employed,practitioners,technologists,total_population,pct_medical_professionals
eba7c1ae-6ecd-4f1f-9a5c-0fdc24fff083,"Homestead, FL",PERMANENTLY_CLOSED,803 N. Homestead Blvd,Homestead,FL,33030,25.47797012,-80.46424103,7866327800,1232275,Homestead city,35090.0,533.0,273.0,79996.0,1.0075503775188759
6705a7e3-ae29-4af8-aace-3ffb85cd7fbb,"Cutler Bay, FL",OPEN,18455 South Dixie Hwy,Cutler Bay,FL,33157,25.59798813,-80.35437012,3052341141,1215968,Cutler Bay town,23032.0,448.0,310.0,44738.0,1.6943090884706513
6d95a289-e7fe-4e14-b799-4b81507c65c8,"Pinecrest, FL",OPEN,8511 SW 136th Street,Pinecrest,FL,33156,25.64401245,-80.33133698,3052327722,1256625,Pinecrest village,8034.0,152.0,113.0,18279.0,1.449751080474862
fff3c51d-034a-49c7-b4cb-94622c8f0cd0,Mission,OPEN,2700 W Expressway 83,McAllen,TX,78503,26.19000053,-98.25,9563774737,4845384,McAllen city,63256.0,818.0,734.0,142722.0,1.0874287075573492
90181582-b80c-401f-9509-c38c31c2e7a9,"Harlingen, TX",OPEN,"6710 W Expressway 83, Suite 104",Harlingen,TX,78552,26.188232,-97.756327,9567523470,4832372,Harlingen city,29183.0,445.0,170.0,71497.0,0.8601759514385219
14f55a59-0c45-465d-80b1-6b82ce959ce2,"McAllen, TX",OPEN,5800 N 10th St. suite 110,McAllen,TX,78504,26.25548363,-98.22018433,9563312181,4845384,McAllen city,63256.0,818.0,734.0,142722.0,1.0874287075573492
ad886357-8516-4719-85c1-57563ebfbfef,"Brownsville, TX",OPEN,"3230 Pablo Kisel Blvd., Suites E-109",Brownsville,TX,78526,25.96413994,-97.50388336,9564430206,4810768,Brownsville city,75831.0,504.0,464.0,186999.0,0.5176498270044225
62a9cda1-398b-4ee7-964a-d08ac0f10caf,"Naples Coastland Center, FL",PERMANENTLY_CLOSED,"1900 Tamiami Trail N,",NAPLES,FL,34102,26.16994667,-81.79707336,2396874808,1247625,Naples city,6310.0,99.0,97.0,19315.0,1.0147553714729485
27793b48-dd34-4e7d-9a66-3ce55c9b553f,"Naples, FL",OPEN," 7935 Airport Pulling Road, Unit 1",Naples,FL,34109,26.24146652,-81.77046967,2395995650,1247625,Naples city,6310.0,99.0,97.0,19315.0,1.0147553714729485
1fff2c97-d2be-4024-86e9-ad8ee366cc72,"Estero, FL",OPEN,10171 Estero Town Commons Place,Estero,FL,33928,26.431053,-81.784871,2398959891,1221150,Estero village,13155.0,314.0,222.0,36685.0,1.4610876379991822
