id,name,status,address,city,state,postal_code,latitude,longitude,phone
eba7c1ae-6ecd-4f1f-9a5c-0fdc24fff083,"Homestead, FL",PERMANENTLY_CLOSED,803 N. Homestead Blvd,Homestead,Florida,33030,25.47797012,-80.46424103,7866327800
6705a7e3-ae29-4af8-aace-3ffb85cd7fbb,"Cutler Bay, FL",OPEN,18455 South Dixie Hwy,Cutler Bay,Florida,33157,25.59798813,-80.35437012,3052341141
6d95a289-e7fe-4e14-b799-4b81507c65c8,"Pinecrest, FL",OPEN,8511 SW 136th Street,Pinecrest,Florida,33156,25.64401245,-80.33133698,3052327722
fff3c51d-034a-49c7-b4cb-94622c8f0cd0,Mission,OPEN,2700 W Expressway 83,McAllen,Texas,78503,26.19000053,-98.25,9563774737
90181582-b80c-401f-9509-c38c31c2e7a9,"Harlingen, TX",OPEN,"6710 W Expressway 83, Suite 104",Harlingen,Texas,78552,26.188232,-97.756327,9567523470
14f55a59-0c45-465d-80b1-6b82ce959ce2,"McAllen, TX",OPEN,5800 N 10th St. suite 110,McAllen,Texas,78504,26.25548363,-98.22018433,9563312181
ad886357-8516-4719-85c1-57563ebfbfef,"Brownsville, TX",OPEN,"3230 Pablo Kisel Blvd., Suites E-109",Brownsville,Texas,78526,25.96413994,-97.50388336,9564430206
62a9cda1-398b-4ee7-964a-d08ac0f10caf,"Naples Coastland Center, FL",PERMANENTLY_CLOSED,"1900 Tamiami Trail N,",NAPLES,Florida,34102,26.16994667,-81.79707336,2396874808
27793b48-dd34-4e7d-9a66-3ce55c9b553f,"Naples, FL",OPEN," 7935 Airport Pulling Road, Unit 1",Naples,Florida,34109,26.24146652,-81.77046967,2395995650
1fff2c97-d2be-4024-86e9-ad8ee366cc72,"Estero, FL",OPEN,10171 Estero Town Commons Place,Estero,Florida,33928,26.431053,-81.784871,2398959891
1a2f2375-17ff-4c8c-a8f7-9d50d2b43501,"Fort Myers, FL",PERMANENTLY_CLOSED,11600 Gladiolus Drive 317,Fort Myers,Florida,33908,26.51732826,-81.94192505,2392430730
9615bacb-1b0a-4e0d-8ec6-2306a66d7608,Cape Coral-Santa Barbara,OPEN,2311 Santa Barbara Blvd,Cape Coral,Florida,33991,26.60956764,-81.97357178,2392184644
cdb0b3f7-bcbc-4a59-a43c-a55bb9b82be9,"Fort Myers - Six Mile Cypress, FL",OPEN,8001 Dani Drive 6,Fort Myers,Florida,33966,26.6058712,-81.8104248,2392925826
f0874c0b-de20-4267-bff5-1d0356b8edfe,"Weston, FL",OPEN,1132 Weston Road,Weston,Florida,33326,26.10580254,-80.36440277,9548886660
2025027e-8a6d-4f75-bf84-70f34cb12ca1,"Pembroke Pines, FL",OPEN,14918 Pines Blvd,Pembroke Pines,Florida,33027,26.00630569,-80.34814453,9545349949
d79d0e9b-f6f5-4efb-a2da-7917c1bb348e,"West Kendall, FL",OPEN,14627 SW 56th St.,Miami,Florida,33175,25.71396065,-80.4296875,3056151095
d995c89e-c1f0-40b9-8412-1f41be516f3d,"Doral, FL",OPEN,5875 NW 105th Ct. Ste #106,Doral,Florida,33178,25.80995178,-80.36845398,3054688028
c37e66ff-c69b-4986-b10d-ff8124fd1ecb,"Miami Lakes, FL",OPEN,15490-B NW 77th Court,Miami Lakes,Florida,33016,25.91523552,-80.32714081,3058240420
dd73eaa2-6a30-4f4f-ad8a-4cfeb2f9026a,"Tamiami, FL",PERMANENTLY_CLOSED,1315 -B  SW 107th Avenue,Miami,Florida,33174,25.75659561,-80.36706543,7868995082
9f3bcf07-cdf0-47e1-90ea-5ff7bff0ee21,"Miramar, FL",OPEN,12316 Miramar Parkway,Miramar,Florida,33025,25.97815323,-80.31043243,9549083636
1b9deb0b-5e65-4317-a256-3c92c72ca8dd,"Cooper City, FL",OPEN,5874 S Flamingo Road,Cooper City,Florida,33330,26.04665947,-80.31131744,9544346244
9d788418-58c1-41e6-89d0-de4e724344d3,"Country Walk, FL",OPEN,"13550 S.W 120th Street, Suite 402",Miami,Florida,33186,25.65553,-80.415128,3052542683
67fb3bc3-8a42-4359-8026-8774a284863c,"Sunrise, FL",PERMANENTLY_CLOSED,12532 W. Sunrise Blvd,Sunrise,Florida,33323,26.14575195,-80.315979,9542895100
e3f33695-612a-41c2-9117-7fed735219b9,"Plantation, FL",OPEN,10073 Cleary Boulevard,Plantation,Florida,33324,26.1350441,-80.28422546,9546938444
57395fb8-65fd-4d50-acdb-97df0060042c,"Miami-Bird Rd, FL",OPEN, 7396 SW 40th ST Miami,Miami,Florida,33155,25.73295975,-80.31497955,3052640087
0af5ef43-47b9-473d-b0ae-59ffc3a79c0b,"Coral Springs - South, FL",PERMANENTLY_CLOSED,1308 Coral Ridge Drive,Coral Springs,Florida,33071,26.24765205,-80.28028107,9548002721
975b43ef-398a-4976-893a-3aae69150a80,"Downtown Dadeland, FL",OPEN,"9045 SW 72nd Place, Suite E150C",Kendall,Florida,33156,25.68667412,-80.31282806,3052227400
ff2d144f-69c4-4145-9cdd-bd41b48fdf82,"Coral Gables, FL",OPEN,2300 Salzedo St,Coral Gables,Florida,33134,25.75107002,-80.26076508,3054606006
0969bbe8-8f6d-4762-8bd8-8925d6035e7d,"Parkland - Coral Springs, FL",OPEN,6230 Coral Ridge Drive,Coral Springs,Florida,33076,26.30760384,-80.28035736,9543457518
6714efed-2cc5-446b-9d90-1692fd3e061a,"Hallandale Beach, FL",PERMANENTLY_CLOSED,419 N. Federal Highway Suite 107,Hallandale Beach,Florida,33009,25.99031639,-80.14276123,9548896894
a891b0b6-d4c1-454f-be57-35e46a832fbb,"Aventura, FL",OPEN,"18839 NE Biscayne Boulevard, Suite A",Aventura,Florida,33180,25.95080757,-80.14655304,3054000544
90857aca-6ed0-4459-a7f9-d8b9bfac9942,"Fort Lauderdale, FL ",OPEN,1835 Cordova Rd.,Ft. Lauderdale,Florida,33316,26.09902573,-80.13076019,9547656014
253ee5b8-38e2-4b3a-bcfc-ba111042e7ab,"Hollywood, FL",OPEN,3251 Hollywood Blvd,Hollywood,Florida,33021,26.01392746,-80.17398834,9545918053
75bb851c-6d3f-48f3-9bb7-d30c572c1fc5,"Central Fort Lauderdale, FL",OPEN,2354 N Federal Hwy,Ft. Lauderdale,Florida,33305,26.15425873,-80.11738586,9543722361
9ffb6fea-329a-4a3b-99b2-5231ef2860a7,"Miami Shores, FL",OPEN,9017 Biscayne Blvd,Miami Shores,Florida,33138,25.858062,-80.183012,3056151299
2a6c3f24-9d94-4a86-a92b-50690818857c,"North Ft. Lauderdale - Commercial, FL",OPEN,1759 E Commercial Blvd.,Ft. Lauderdale,Florida,33334,26.18913651,-80.12351227,9542299800
7dbc89a1-ba29-4b69-ad3d-d27b8cb33b33,"Miami - Design District, FL",OPEN,89 NE 38th Street,Miami,Florida,33137,25.81203842,-80.19358063,7866673757
eaac10d6-513e-4290-b8a8-c8a9ccc6c3f4,"South Beach, FL",PERMANENTLY_CLOSED,1115 5th Street,Miami Beach,Florida,33139,25.77460098,-80.13988495,3056950085
c6b4bb69-2fc3-4124-8fb6-cab3ad433635,"Pompano Beach, FL",OPEN,1700 NE 23rd Street,Pompano Beach,Florida,33062,26.258792,-80.102038,9542464735
0f839148-1ac2-4aaa-8875-9dc147022605,"Downtown Miami - Vizcayne, FL",OPEN,269 NE 2nd Street,Miami,Florida,33132,25.77699089,-80.188797,7865897231
211f3150-3127-4467-a41c-1eb4c38e4690,"Brickell, FL",PERMANENTLY_CLOSED,800 Brickell Ave Suite 202,Brickell,Florida,33131,25.765954,-80.191765,7865584422
848d2b50-313f-49f0-a803-5e9782837219,"Coconut Creek, FL",OPEN,"4449 Lyons Road, J-103",Coconut Creek,Florida,33073,26.284758,-80.187246,9545109400
a006cb05-ad0a-469a-9d2d-4a52d1b38963,"Boca Raton - East, FL",OPEN,10 East Palmetto Park Road,Boca Raton,Florida,33432,26.35004044,-80.08714294,5615717740
3faf5e12-327c-42e6-adb7-1363b57c4d04,"Boca Raton - Central, FL",OPEN,5050 Town Center Circle,Boca Raton,Florida,33486,26.363246,-80.122895,5613696396
28f91413-9af6-4361-9d71-db5070465a64,"Boca Raton - West, FL",OPEN,"8903 Glades Rd, Ste H13",Boca Raton,Florida,33434,26.36971855,-80.18521118,5614881955
5f30273e-e535-4486-835c-afce6f1ba5f7,"Delray Beach -East, FL",PERMANENTLY_CLOSED,3100 S Federal Hwy #1,Delray Beach,Florida,33483,26.42629814,-80.07328033,5612742550
004d1e46-4e9d-4911-ae29-f0af4681c35e,"Delray Beach North, FL",OPEN,264-278 SE 5th Avenue,Delray Beach,Florida,33483,26.45669746,-80.06822968,5616750600
